identifier,file,description,date,title,publisher,language,mediatype,eprintid,subject[0],subject[1],subject[2],subject[3],subject[4],subject[5],subject[6],creator[0],creator[1],division[0],division[1],copyright_holder[0],collection
mmu-eprint-11206,"D:\Exam paper\Exam paper 5\id\eprint\11206\1\BOB 2614.pdf","Trimester 3 2022/2023","2023-11-03","BOB 2614 - Organisational Behaviour",,eng,texts,11206,HD,HD28,,,,,,"Faculty of Management, FOM",,FOM,,,opensource
mmu-eprint-11217,"D:\Exam paper\Exam paper 5\id\eprint\11217\1\DCT 5114.pdf","Trimester 3 2022/2023","2023-10-07","DCT 5114 - Critical Thinking",,eng,texts,11217,BF,,,,,,,"Faculty of Engineering, FOE",,FOE,,,opensource
mmu-eprint-11180,"D:\Exam paper\Exam paper 5\id\eprint\11180\1\BAC 2694 - Management Consultancy.pdf","Trimester 3 2022/2023","2023-10-07","BAC 2694 - Management Consultancy",,eng,texts,11180,HD,HD61,,,,,,"Faculty of Management, FOM",,FOM,,,opensource
mmu-eprint-11181,"D:\Exam paper\Exam paper 5\id\eprint\11181\1\BAC 4684 - ERP Systems.pdf","Trimester 3 2022/2023","2023-10-07","BAC 4684 - ERP Systems",,eng,texts,11181,HD,HD28,,,,,,"Faculty of Management, FOM",,FOM,,,opensource
mmu-eprint-11183,"D:\Exam paper\Exam paper 5\id\eprint\11183\1\BFN 3114 - Tax Planning.pdf","Trimester 3 2022/2023","2023-10-07","BFN 3114 - Tax Planning",,eng,texts,11183,HJ,,,,,,,"Faculty of Management, FOM",,FOM,,,opensource
mmu-eprint-11254,"D:\Exam paper\Exam paper 5\id\eprint\11254\1\BMG 1014 - Management.pdf","Trimester 3 2022/2023","2023-10-07","BMG 1014 - Management",,eng,texts,11254,HD,HD28,,,,,,"Faculty of Management, FOM",,FOM,,,opensource
mmu-eprint-11168,"D:\Exam paper\Exam paper 5\id\eprint\11168\1\BMK 2614 - Principles of Marketing.pdf","Trimester 3 2022/2023","2023-10-07","BMK 2614 - Principles of Marketing",,eng,texts,11168,HF,,,,,,,"Faculty of Management, FOM",,FOM,,,opensource
mmu-eprint-11231,"D:\Exam paper\Exam paper 5\id\eprint\11231\1\PPP 0101 - Principles of Physics.pdf","Trimester 3 2022/2023","2023-10-07","PPP 0101 - Principles of Physics",,eng,texts,11231,QC,,,,,,,"Foundation Studies and Extension Education, FOSEE",,FOSEE,,,opensource
mmu-eprint-11220,"D:\Exam paper\Exam paper 5\id\eprint\11220\1\DDM 5117.pdf","Trimester 3 2022/2023","2023-10-06","DDM 5117 - Digital Media And Culture",,eng,texts,11220,T1,,,,,,,"Faculty of Engineering, FOE",,FOE,,,opensource
mmu-eprint-11196,"D:\Exam paper\Exam paper 5\id\eprint\11196\1\DMA 5201 - Mathematical Techniques-2.pdf","Trimester 3 2022/2023","2023-10-06","DMA 5201 - Mathematical Techniques-2",,eng,texts,11196,QA,,,,,,,"Faculty of Engineering, FOE",,FOE,,,opensource
mmu-eprint-11171,"D:\Exam paper\Exam paper 5\id\eprint\11171\1\ECE 4116 - Digital Computer Design.pdf","Trimester 3 2022/2023","2023-10-06","ECE 4116 - Digital Computer Design",,eng,texts,11171,QA,QA76,,,,,,"Faculty of Engineering, FOE",,FOE,,,opensource
mmu-eprint-11187,"D:\Exam paper\Exam paper 5\id\eprint\11187\1\EEE 1036 - Digital Logic Design.pdf","Trimester 3 2022/2023","2023-10-06","EEE 1036 - Digital Logic Design",,eng,texts,11187,TK,,,,,,,"Faculty of Engineering, FOE",,FOE,,,opensource
mmu-eprint-11268,"D:\Exam paper\Exam paper 5\id\eprint\11268\1\EEE 7216 - Engineering Optimization.pdf","Trimester 3 2022/2023","2023-10-06","EEE 7216 - Engineering Optimization",,eng,texts,11268,TA,,,,,,,"Faculty of Engineering, FOE",,FOE,,,opensource
mmu-eprint-11193,"D:\Exam paper\Exam paper 5\id\eprint\11193\1\EEL 3156 - Renewable Energy Technology.pdf","Trimester 3 2022/2023","2023-10-06","EEL 3156 - Renewable Energy Technology",,eng,texts,11193,TJ,,,,,,,"Faculty of Engineering, FOE",,FOE,,,opensource
mmu-eprint-11259,"D:\Exam paper\Exam paper 5\id\eprint\11259\1\BAE 2014 - Seminar in Analytical Economics.pdf","Trimester 3 2022/2023","2023-10-06","BAE 2014 - Seminar in Analytical Economics",,eng,texts,11259,HD,,,,,,,"Faculty of Management, FOM",,FOM,,,opensource
mmu-eprint-11167,"D:\Exam paper\Exam paper 5\id\eprint\11167\1\BBL 2014 - Business Law.pdf","Trimester 3 2022/2023","2023-10-06","BBL 2014 - Business Law",,eng,texts,11167,K1,,,,,,,"Faculty of Management, FOM",,FOM,,,opensource
